link,representation,law_firms
https://www.bailii.org/ew/cases/EWCA/Civ/2025/54.html,"Brian Kennelly KC & Paul Luckhurst (instructed by Winston and Strawn London LLP; Slaughter and May) for the Appellants
Josh Holmes KC, Naina Patel & Will Perry (instructed by Competition and Markets Authority) for the 1st Respondent
Rhodri Thompson KC, Anneli Howard KC & Prof. Suzanne Rab (instructed by TLT LLP) for the 2nd Respondent
Hearing date: Monday 11th November 2024","[('Winston and Strawn London LLP; Slaughter and May', 'Appellants'), ('Competition and Markets Authority', '1st Respondent'), ('TLT LLP', '2nd Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/43.html,"James Segan KC, Ravi Mehta and Femi Adekoya
 (instructed by Hogan Lovells International LLP) for the Appellants
Tom Moody-Stuart KC and Edmund Eustace (instructed by EIP Europe LLP and Bird & Bird LLP) for the Respondents
Hearing date : 16 January 2025","[('Hogan Lovells International LLP', 'Appellants'), ('EIP Europe LLP and Bird & Bird LLP', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/23.html,"Richard Vallet KC, Laura Poots and James Kirby (instructed by The General Counsel and Solicitor for HMRC) for the Appellant
Amanda Hardy KC and Oliver Marre (instructed by Slaughter and May) for the Respondent

Hearing dates : 26 and 27 November 2024
(Further written submissions on 4 and 11 December 2024)","[('The General Counsel and Solicitor for HMRC', 'Appellant'), ('Slaughter and May', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/3.html,"David Goldberg KC and Laura Inglis (instructed by Linklaters LLP) for the Appellants
David Ewart KC and Thomas Chacko (instructed by HMRC Solicitor's Office and Legal Services) for the Respondents
Hearing dates: 26 and 27 November 2024","[('Linklaters LLP', 'Appellants'), (""HMRC Solicitor's Office and Legal Services"", 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/223.html,"MR N BLOCK KC and MR J HOLBORN (instructed by Weightmans LLP) appeared on behalf of the Defendant/Appellant
MR J CLARKE (instructed by Slater and Gordon Solicitors) appeared on behalf of the Claimant/Respondent","[('Weightmans LLP', 'Defendant/Appellant'), ('Slater and Gordon Solicitors', 'Claimant/Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/109.html,"Richard O'Dair (instructed by Andrew Storch Solicitors) for the Claimant
Sean Jones KC and Christopher Milsom (instructed by Browne Jacobson) for the Respondent 
Sarah Fraser Butlin KC (instructed by Herbert Smith Freehills LLP) for the First Intervener
Ben Cooper KC and Spencer Keen (instructed by Branch Austin McCormick LLP) 
for the Second Intervener (written submissions only)
Roger Kiska (of Camerons Solicitors LLP) for the Third Intervener 
(written submissions only)
Akua Reindorf KC (instructed by Direct Access) for the Fourth Intervener 
(written submissions only)
Joanne Clement KC (instructed by the Equality and Human Rights Commission) for the Fifth Intervener
Hearing dates: 2 and 3 October 2024","[('Andrew Storch Solicitors', 'Claimant'), ('Browne Jacobson', 'Respondent'), ('Herbert Smith Freehills LLP', 'First Intervener'), ('Branch Austin McCormick LLP', 'Second Intervener'), ('Direct Access', 'Fourth Intervener'), ('the Equality and Human Rights Commission', 'Fifth Intervener')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/182.html,"Andrew Lykiardopoulos KC, James Segan KC and Kathryn Pickard (instructed by Kirkland & Ellis International LLP) for the Appellants
Meredith Pickford KC, Nikolaus Grubeck and Edmund Eustace (instructed by Taylor Wessing LLP and Pinsent Masons LLP) for the Respondents
Hearing date : 18 February 2025","[('Kirkland & Ellis International LLP', 'Appellants'), ('Taylor Wessing LLP and Pinsent Masons LLP', 'Respondents')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/191.html,"Gavin Dingley and Freyja McLoughlin (instructed on Direct Access) for the Appellant
Samantha Broadfoot KC and Barney McCay (instructed by Disclosure and Barring Service) for the Respondent
Hearing date: 12 February 2025. 
Further written submissions received on 17 February 2025.","[('Disclosure and Barring Service', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/348.html,"Philip Rule KC and Mirren Gidda (instructed by Hackett and Dabbs LLP) for the Appellant
William Irwin (instructed by Government Legal Department) for the Respondent
Hearing date: 11 March 2025","[('Hackett and Dabbs LLP', 'Appellant'), ('Government Legal Department', 'Respondent')]"
https://www.bailii.org/ew/cases/EWCA/Civ/2025/279.html,"Michael Jones KC (instructed by Herbert Smith Freehills LLP) for the Appellants
Elizabeth Wilson KC and Angharad Parry (instructed by The General Counsel and Solicitor to HM Revenue and Customs) for the Respondents

Hearing dates: 4-6 February 2025","[('Herbert Smith Freehills LLP', 'Appellants'), ('The General Counsel and Solicitor to HM Revenue and Customs', 'Respondents')]"
