Law_Firm,Wins,Losses,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Cases,Win_Rate
winston and strawn london llp,0,1,0,1,0,{2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/54.html']},0.0
slaughter and may,18,9,0,10,17,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/536.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/87.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/719.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1267.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1289.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/474.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1129.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2694.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2075.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/37.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1475.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/889.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/680.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1156.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/29.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1481.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1179.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/876.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/374.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/622.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1110.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/797.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/98.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/23.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/54.html']}",66.66666666666666
competition and markets authority,4,2,1,2,4,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/487.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1631.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/339.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/617.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/701.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1297.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/54.html']}",66.66666666666666
tlt llp,8,3,0,3,8,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1188.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/130.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1181.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/22.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2211.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/2047.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/318.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/1233.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/833.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1106.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/54.html']}",72.72727272727273
hogan lovells international llp,16,27,0,23,20,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/70.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/487.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/555.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/228.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/710.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/987.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1526.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/90.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1176.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1742.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2407.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/819.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1646.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1708.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1032.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/571.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1962.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1690.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/245.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/2349.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/205.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/225.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1099.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/339.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1149.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/634.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/233.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/28.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/947.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/552.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/29.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1020.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1419.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/880.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/472.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/11.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/113.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/373.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/802.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/639.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/1168.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/695.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/43.html']}",37.2093023255814
eip europe llp,3,1,0,1,3,"{2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/440.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1411.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/193.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/43.html']}",75.0
bird & bird llp,16,17,0,10,23,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/607.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/401.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/555.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/803.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1092.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/457.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/148.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/20.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1834.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2025.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2231.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/355.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/10.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/2192.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1646.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1293.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1562.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/473.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/441.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1110.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/594.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/941.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/947.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1072.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/451.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/11.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/166.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/1386.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/749.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/595.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/591.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/343.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/43.html']}",48.484848484848484
withers llp,9,9,1,14,4,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/987.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1144.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/778.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/195.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1605.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/556.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1727.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1064.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1337.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1112.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/912.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1804.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/557.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1492.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1051.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1061.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/867.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/606.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/39.html']}",50.0
reynolds porter chamberlain llp,23,22,0,26,19,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1212.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/671.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/488.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1147.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/32.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1146.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/487.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1176.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/847.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/40.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1054.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1877.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/75.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1197.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1193.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/65.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1470.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1010.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/350.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/648.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1096.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/156.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1641.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/109.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/204.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1112.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1228.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/177.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/611.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/355.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/29.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/790.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1789.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/720.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1810.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/551.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1484.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/493.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1943.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/901.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1492.html'], 2024: ['https://www.bailii.org/ew/cases/EWCA/Civ/2024/628.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/180.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2024/762.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/39.html']}",51.11111111111111
kennedys law llp,9,8,1,8,9,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/665.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/11.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/4097.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/334.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1882.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2252.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/808.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/88.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1103.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/574.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/996.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1789.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1848.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/480.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/61.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1497.html'], 2025: ['https://www.bailii.org/ew/cases/EWCA/Civ/2025/203.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2025/44.html']}",52.94117647058824
