Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text),Cases
3c shared services-legal practice,1,0,100.0,0,1,0,3c shared services-legal practice,"{""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/314.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}]}"
4a law,0,0,,2,0,0,4a law,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/32.html"", ""role"": ""3rd intervener"", ""outcome"": ""dismissed"", ""result"": ""Neutral""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/33.html"", ""role"": ""2nd intervener"", ""outcome"": ""granted"", ""result"": ""Neutral""}]}"
[not provided],0,1,0.0,0,1,0,[not provided],"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/658.html"", ""role"": ""applicant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
a & n care solicitors,0,1,0.0,0,1,0,a & n care solicitors,"{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1236.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
a2 solicitors,1,0,100.0,0,1,0,a2 solicitors,"{""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/248.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}]}"
aa thornton ip llp,1,0,100.0,0,1,0,aa thornton ip llp,"{""2022"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/594.html"", ""role"": ""appellant/claimant"", ""outcome"": ""granted"", ""result"": ""Win""}]}"
aaron and partners llp,2,7,22.22,1,5,4,"aaron & partners llp, aaron and partners llp","{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1232.html"", ""role"": ""second respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2016"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/701.html"", ""role"": ""claimants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/797.html"", ""role"": ""first interested party"", ""outcome"": ""dismissed"", ""result"": ""Neutral""}], ""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/802.html"", ""role"": ""first appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1313.html"", ""role"": ""appellant"", ""outcome"": ""granted"", ""result"": ""Win""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/231.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/143.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1440.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/213.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/700.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}]}"
abbey solicitors limited,0,1,0.0,0,1,0,abbey solicitors limited,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1194.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
abbotstone law,0,1,0.0,0,1,0,abbotstone law,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/436.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
abbott solicitors,0,1,0.0,0,1,0,abbott solicitors,"{""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1909.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
acculegal solicitors,1,0,100.0,0,0,1,acculegal solicitors,"{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/229.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
acklam bond,0,1,0.0,0,1,0,acklam bond,"{""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/657.html"", ""role"": ""appellants"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
active legal solicitors,0,1,0.0,0,1,0,active legal solicitors,"{""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/696.html"", ""role"": ""claimant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
acuity law,2,3,40.0,0,3,2,"acuity law, acuity law limited, acuity law ltd","{""2024"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/39.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/765.html"", ""role"": ""respondents"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2023"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/12.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/837.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2021"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/227.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
acumension limited,3,6,33.33,0,3,5,"acumension limited, acumension ltd","{""2017"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1941.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1941.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1980.html"", ""role"": ""respondent"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/399.html"", ""role"": ""claimant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/792.html"", ""role"": ""appellant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}], ""2018"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1376.html"", ""role"": ""respondent/defendant"", ""outcome"": ""granted"", ""result"": ""Loss""}, {""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/436.html"", ""role"": ""respondent"", ""outcome"": ""dismissed"", ""result"": ""Win""}], ""2019"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1220.html"", ""role"": ""nhs trust"", ""outcome"": ""granted"", ""result"": ""Loss""}], ""2020"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/543.html"", ""role"": ""respondent/defendant"", ""outcome"": ""dismissed"", ""result"": ""Win""}]}"
adams & remers llp,0,1,0.0,0,1,0,adams & remers llp,"{""2015"": [{""url"": ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/586.html"", ""role"": ""appellant/claimant"", ""outcome"": ""dismissed"", ""result"": ""Loss""}]}"
