Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text),Cases
(monro wright & wasbrough llp,1,1,50.0,0,1,1,"(monro wright & wasbrough llp, monro wright & wasbrough llp","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2250.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2362.html""]}"
3c shared services-legal practice,1,0,100.0,0,1,0,3c shared services-legal practice,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/314.html""]}"
4a law,0,0,,2,0,0,4a law,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/32.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/33.html""]}"
[not provided],0,1,0.0,0,1,0,[not provided],"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/658.html""]}"
a & n care solicitors,0,1,0.0,0,1,0,a & n care solicitors,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1236.html""]}"
a local authority,3,2,60.0,0,3,2,"a local authority, local authority","{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1695.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/572.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/277.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1140.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/804.html""]}"
a london authority,0,1,0.0,0,0,1,a london authority,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1215.html""]}"
a2 solicitors,1,0,100.0,0,1,0,a2 solicitors,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/248.html""]}"
aa thornton ip llp,1,0,100.0,0,1,0,aa thornton ip llp,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/594.html""]}"
aaron,1,1,50.0,2,1,1,aaron,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1232.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/797.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/802.html""]}"
aaron & partners llp,1,6,14.29,0,4,3,aaron & partners llp,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/701.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1313.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/231.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/143.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1440.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/213.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/700.html""]}"
abbey solicitors limited,0,1,0.0,0,1,0,abbey solicitors limited,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1194.html""]}"
abbotstone law,0,1,0.0,0,1,0,abbotstone law,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/436.html""]}"
abbott solicitors,0,1,0.0,0,1,0,abbott solicitors,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1909.html""]}"
acculegal solicitors,1,0,100.0,0,0,1,acculegal solicitors,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/229.html""]}"
acklam bond,0,1,0.0,0,1,0,acklam bond,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/657.html""]}"
active legal solicitors,0,1,0.0,0,1,0,active legal solicitors,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/696.html""]}"
acuity law,2,3,40.0,0,3,2,"acuity law, acuity law limited, acuity law ltd","{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/39.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/765.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/12.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/837.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/227.html""]}"
acumension limited,3,6,33.33,0,3,6,"acumension limited, acumension ltd","{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1941.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1980.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/399.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/792.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1376.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/436.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1220.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/543.html""]}"
adams & remers llp,0,1,0.0,0,1,0,adams & remers llp,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/586.html""]}"
addleshaw goddard,18,25,41.86,2,19,24,"addleshaw goddard, addleshaw goddard llp, addleshaw goddard solicitors","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/227.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/388.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/650.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/70.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/875.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/496.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/557.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/773.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/799.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1001.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2069.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1660.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2084.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1543.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1924.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/250.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/344.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/364.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/669.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1075.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/323.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/907.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/104.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/32.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/338.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/557.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/867.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/981.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1408.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/24.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/440.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/825.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/864.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1258.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/262.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/292.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/533.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1023.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1109.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1418.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1558.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/356.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/446.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/5.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/507.html""]}"
addlestone keane solicitors,1,1,50.0,0,0,2,"addlestone keane solicitors, addlestone keene","{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1864.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1687.html""]}"
ade tax,0,1,0.0,0,1,0,ade tax,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/283.html""]}"
adie pepperdine ltd,1,1,50.0,0,1,1,"adie pepperdine ltd, adie pepperdine solicitors","{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/8.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/49.html""]}"
advocacy,5,7,41.67,0,9,3,"advocacy, advocate, advocates","{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/112.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1461.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1417.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1466.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1568.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/95.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/658.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1327.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1334.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1712.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/985.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1212.html""]}"
