Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text)
(monro wright & wasbrough llp,1,1,50.0,0,1,1,['monro wright & wasbrough llp' '(monro wright & wasbrough llp']
3c shared services-legal practice,1,0,100.0,0,1,0,['3c shared services-legal practice']
4a law,0,0,,2,0,0,['4a law']
[not provided],0,1,0.0,0,1,0,['[not provided]']
a & n care solicitors,0,1,0.0,0,1,0,['a & n care solicitors']
a local authority,3,2,60.0,0,3,2,['local authority' 'a local authority']
a london authority,0,1,0.0,0,0,1,['a london authority']
a2 solicitors,1,0,100.0,0,1,0,['a2 solicitors']
aa thornton ip llp,1,0,100.0,0,1,0,['aa thornton ip llp']
aaron,1,1,50.0,2,1,1,['aaron']
aaron & partners llp,1,6,14.29,0,4,3,['aaron & partners llp']
abbey solicitors limited,0,1,0.0,0,1,0,['abbey solicitors limited']
abbotstone law,0,1,0.0,0,1,0,['abbotstone law']
abbott solicitors,0,1,0.0,0,1,0,['abbott solicitors']
acculegal solicitors,1,0,100.0,0,0,1,['acculegal solicitors']
acklam bond,0,1,0.0,0,1,0,['acklam bond']
active legal solicitors,0,1,0.0,0,1,0,['active legal solicitors']
acuity law,2,3,40.0,0,3,2,['acuity law ltd' 'acuity law' 'acuity law limited']
acumension limited,3,6,33.33,0,3,6,['acumension ltd' 'acumension limited']
adams & remers llp,0,1,0.0,0,1,0,['adams & remers llp']
addleshaw goddard,18,25,41.86,2,19,24,"['addleshaw goddard llp' 'addleshaw goddard'
 'addleshaw goddard solicitors']"
addlestone keane solicitors,1,1,50.0,0,0,2,['addlestone keane solicitors' 'addlestone keene']
ade tax,0,1,0.0,0,1,0,['ade tax']
adie pepperdine ltd,1,1,50.0,0,1,1,['adie pepperdine ltd' 'adie pepperdine solicitors']
advocacy,5,7,41.67,0,9,3,['advocate' 'advocates' 'advocacy']
advocates for animals,0,1,0.0,0,1,0,['advocates for animals']
aegis legal,1,0,100.0,0,1,0,['aegis legal']
aeris employment law,1,0,100.0,0,0,1,['aeris employment law']
affinity law,1,0,100.0,0,0,1,['affinity law']
ahmed rahman carr llp,0,2,0.0,0,2,0,['ahmed rahman carr solicitors' 'ahmed rahman carr llp']
ahz solicitors,1,0,100.0,0,1,0,['ahz solicitors']
ai law,0,2,0.0,1,2,0,['ai law']
aja solicitors,0,1,0.0,0,0,1,['aja solicitors']
akin gump llp,4,1,80.0,0,4,1,['akin gump llp']
akl solicitors,0,1,0.0,0,1,0,['akl solicitors']
al bawardi critchlow,0,1,0.0,0,1,0,['al bawardi critchlow']
alan taylor & co,0,1,0.0,0,1,0,['alan taylor & co']
alberto perez cedillo,0,1,0.0,0,1,0,['alberto perez cedillo']
aliant law,1,0,100.0,0,0,1,['aliant law']
alison castrey ltd,0,1,0.0,0,0,1,['alison castrey ltd']
alius law,0,1,0.0,0,1,0,['alius law']
allan rutherford solicitors,0,1,0.0,0,1,0,['allan rutherford solicitors']
allen overy shearman sterling llp,18,23,43.9,5,20,21,"['a&o shearman llp' 'allen' 'a & o shearman' 'a&o shearman'
 'allen overy shearman sterling llp' 'allen & overy llp' 'allen llp'
 'allen & overy' 'overy llp' 'allen solicitors ltd' 'allen overy llp'
 'messrs allen'
 'société air france, shearman & sterling (london) llp for cargolux airlines international sa, squire paton boggs (uk) llp for cathay pacific airways limited, shepherd']"
allington hughes,2,0,100.0,0,1,1,['allington hughes law' 'allington hughes']
alpha rocks solicitors,1,1,50.0,0,2,0,['alpha rocks solicitors']
alsters kelley solicitors,1,0,100.0,0,1,0,['alsters kelley solicitors']
alston & bird (city) llp,0,1,0.0,0,0,1,['alston & bird (city) llp']
alterman solicitors,1,0,100.0,0,0,1,['alterman solicitors']
aman solicitors,1,2,33.33,0,2,1,['aman solicitors' 'aman solicitors advocates']
amjad malik solicitors,0,1,0.0,0,1,0,['amjad malik solicitors']
amv law,1,0,100.0,0,1,0,['amv law']
amz law,1,3,25.0,0,4,0,['amz law']
an nhs foundation,0,1,0.0,0,0,1,['an nhs foundation']
and for staffordshire police,1,0,100.0,0,0,1,['and for staffordshire police']
and head of special legal casework for south wales police,1,0,100.0,0,0,1,['and head of special legal casework for south wales police']
andrew storch solicitors,1,4,20.0,0,5,0,['andrew storch solicitors']
"angela mills, principal solicitor, oxfordshire county council",0,1,0.0,0,0,1,"['angela mills, principal solicitor, oxfordshire county council']"
"ann butterfield, rochdale metropolitan borough council",0,1,0.0,0,0,1,"['ann butterfield, rochdale metropolitan borough council']"
ann l humphrey solicitors,1,0,100.0,0,0,1,['ann l humphrey solicitors']
anthony collins llp,1,2,33.33,1,2,1,"['anthony collins llp' 'anthony collins solicitors llp'
 'anthony collins solicitors']"
anthony gold,5,5,50.0,2,7,3,['anthony gold solicitors' 'anthony gold solicitors llp' 'anthony gold']
anthony jeremy,1,0,100.0,0,1,0,['anthony jeremy']
anti trafficking,2,0,100.0,0,2,0,['anti-trafficking' 'anti trafficking']
appleman legal,0,1,0.0,0,1,0,['appleman legal']
appleyard lees solicitors,1,0,100.0,0,1,0,['appleyard lees solicitors']
applicant,0,2,0.0,0,2,0,['applicant' 'appellant']
applicant in person,0,1,0.0,0,1,0,['applicant in person']
arani solicitors,0,2,0.0,0,2,0,['arani solicitors']
arc pensions law llp,0,1,0.0,0,0,1,['arc pensions law llp']
archer fields,3,1,75.0,0,2,2,['archerfield partners llp' 'archer fields']
ardens,1,0,100.0,0,0,1,['ardens']
ardent law,0,1,0.0,0,1,0,['ardent law']
arkrights solicitors,0,9,0.0,0,8,1,['arkrights solicitors']
arlington crown solicitors,1,0,100.0,0,0,1,['arlington crown solicitors']
armstrong solicitors limited,1,3,25.0,0,4,0,"['armstrong solicitors limited' 'armstrongs solicitors limited'
 'armstrongs solicitors ltd']"
armstrong teasdale ltd,1,0,100.0,0,0,1,['armstrong teasdale ltd']
arnold & porter kaye scholer (uk) llp,1,6,14.29,0,2,5,"['arnold &porter kaye scholar (uk) llp'
 'arnold & porter kaye scholer (uk) llp'
 'arnold & porter kaye scholer llp']"
arora lodhi heath,0,1,0.0,0,1,0,['arora lodhi heath']
artis legal,1,0,100.0,0,1,0,['artis legal']
"asb law llp, origin two, 106 high street, crawley, west sussex, rh10 1bf",1,0,100.0,0,0,1,"['asb law llp, origin two, 106 high street, crawley, west sussex, rh10 1bf']"
asghar & co,0,1,0.0,0,1,0,['asghar & co']
ash solicitors for appellant ms tina conlan (instructed by hb public law,1,0,100.0,0,0,1,['ash solicitors for appellant ms tina conlan (instructed by hb public law']
ashfield,1,1,50.0,0,0,2,['ashfield' 'ashfield & mansfield shared legal service']
ashfords llp,5,5,50.0,1,4,6,"['ashfords llp' 'ashfords llp, taunton']"
ashley wilson solicitors llp,0,1,0.0,0,1,0,['ashley wilson solicitors llp']
ashton kcj solicitors,4,4,50.0,0,2,6,"['ashtons legal llp' 'ashtons legal' 'ashton kcj solicitors'
 'just costs solicitors as agents for ashton kcj solicitors']"
ashurst,4,8,33.33,0,7,5,['ashurst llp' 'ashurst']
asserson,1,2,33.33,0,2,1,['asserson' 'asserson law offices']
associate law firm,0,2,0.0,0,2,0,['associate law firm']
associates,1,1,50.0,1,2,0,['associates' 'mr associates']
associates ltd for hxa,1,0,100.0,0,1,0,['associates ltd for hxa']
association of personal injury lawyers,0,0,,1,0,0,['association of personal injury lawyers']
astute law limited,0,1,0.0,0,1,0,['astute law limited']
athena law,1,2,33.33,0,2,1,['athena law' 'athena solicitors llp']
atherton godfrey llp,1,1,50.0,0,1,1,['atherton godfrey llp']
aticus law limited,1,1,50.0,0,2,0,['aticus law limited' 'aticus law solicitors']
atkins thomson,3,2,60.0,0,1,4,"['atkins thomson ltd' 'atkins thomson'
 'atkins thomson as lead solicitors for atkins thomson, clintons, hamlins, steel & shamash'
 'atkins thomson as lead solicitors for steel & shamash']"
atkinson rose llp,0,2,0.0,0,2,0,['atkinson rose llp']
atleu at islington law centre,0,1,0.0,0,1,0,['atleu at islington law centre']
attwaters jameson hill,1,0,100.0,0,1,0,['attwaters jameson hill']
attwells solicitors,1,0,100.0,0,0,1,['attwells solicitors']
attwood & co,1,0,100.0,0,0,1,['attwood & co']
avisons solicitors,0,2,0.0,0,2,0,['avisons solicitors' 'avisons law limited']
aviva legal services,0,1,0.0,0,1,0,['aviva legal services']
avon,2,0,100.0,0,2,0,['avon']
aw law limited t/a alexander whyatt solicitors,0,1,0.0,0,1,0,['aw law limited t/a alexander whyatt solicitors']
axiom dwfm solicitors,13,16,44.83,0,17,12,"['ince gordon dadds llp' 'axiom dwfm solicitors' 'axiom stone solicitors'
 'gordon dadds llp' 'ince & co llp' 'ince & co' 'gordan dadds llp'
 'dwfm beckman' 'ince & co. llp' 'gordon dodds']"
b a international sols ltd,1,0,100.0,0,0,1,['b a international sols ltd']
b legal solicitors,1,0,100.0,0,0,1,['b legal solicitors']
b p collins llp,1,1,50.0,0,0,2,['b p collins llp']
b&m law llp,1,0,100.0,0,0,1,['b&m law llp']
babergh district council legal services,0,1,0.0,0,0,1,['babergh district council legal services']
baches solicitors,0,1,0.0,0,0,1,['baches solicitors']
backhouse jones,2,2,50.0,0,2,2,"['backhouse jones solicitors' 'backhouse jones, solicitors'
 'backhouse jones']"
bailey llp,1,1,50.0,0,2,0,['bailey llp' 'bailey wright & co']
baileyfields,0,1,0.0,0,1,0,['baileyfields']
baines wilson llp,1,0,100.0,0,0,1,['baines wilson llp']
baker botts (uk) llp,1,0,100.0,0,0,1,['baker botts (uk) llp']
baker law llp,1,0,100.0,0,0,1,['baker law llp']
"baker mckenzie, london ec4v 6ja",13,13,50.0,3,12,14,"['baker & mckenzie llp' 'baker mckenzie llp' 'baker & mckenzie'
 'baker mckenzie' 'baker mckenzie, london ec4v 6ja']"
bakers solicitors,0,2,0.0,0,0,2,['bakers solicitors']
bankfield heath solicitors,0,1,0.0,0,0,1,['bankfield heath solicitors']
banks kelly solicitors,0,1,0.0,0,1,0,['banks kelly solicitors']
bankside commercial limited,1,0,100.0,0,0,1,['bankside commercial limited']
bar pro bono unit,6,10,37.5,0,11,5,"['pro bono unit' 'bar pro bono unit' 'bar pro bono unit/public access'
 'bar pro bono unit with support of curling moore solicitors'
 'pro bono bar unit']"
bar standards board,1,1,50.0,0,0,2,['bar standards board']
barings law,2,1,66.67,0,1,2,['barings llp' 'barings law']
bark & co,2,0,100.0,0,2,0,['bark & co solicitors' 'bark & co']
bark & co solicitors limited,1,0,100.0,0,0,1,['bark & co solicitors limited']
barlow llp,1,4,20.0,1,5,0,['moore barlow llp' 'barlow robbins llp' 'barlow llp']
barnes harrild & dyer,0,3,0.0,0,2,1,"['barnes harrild & dyer' 'barnes, harrild']"
barnes solicitors,0,1,0.0,0,1,0,['barnes solicitors']
barring service,2,0,100.0,0,1,1,['barring service' 'barring service legal services']
basildon district council,1,0,100.0,0,0,1,['basildon district council']
bassetlaw district council,1,0,100.0,0,0,1,['bassetlaw district council']
batchelors,0,1,0.0,0,1,0,['batchelors']
batchelors solicitors,0,1,0.0,0,0,1,['batchelors solicitors']
bates wells,1,3,25.0,0,1,3,"['bates wells braithwaite london llp' 'bates wells'
 'bates wells & braithwaite london llp' 'bates wells & braithwaite llp']"
baxter caulfield solicitors,0,1,0.0,0,1,0,['baxter caulfield solicitors']
bbmr social housing lawyers,0,1,0.0,0,0,1,['bbmr social housing lawyers']
bbs law,1,1,50.0,0,2,0,['bbs law' 'bbs law ltd']
bc legal limited,0,1,0.0,0,1,0,['bc legal limited']
bclp llp,12,6,66.67,2,4,14,"['bryan cave leighton paisner llp' 'bclp llp'
 'berwin leighton paisner llp' 'bryan cave' 'berwin leighton paisner']"
bdb pitmans,5,0,100.0,0,2,3,['bdb pitmans' 'bdb pitmans llp' 'bdp pitmans llp']
bdbf llp,0,0,,1,0,0,['bdbf llp']
bde law ltd,0,1,0.0,0,1,0,['bde law ltd']
bdm law llp,1,0,100.0,0,0,1,['bdm law llp']
bdo llp,1,0,100.0,0,0,1,['bdo llp']
beale,0,2,0.0,0,0,2,['beale & co. solicitors llp' 'beale']
beaumont legal services,0,1,0.0,0,0,1,['beaumont legal services']
beavis partnership limited llp,0,1,0.0,0,0,1,['beavis partnership limited llp']
bedford borough council legal services,0,1,0.0,0,1,0,['bedford borough council legal services']
